"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Materials and Supplies","3","Health","2016","General Operating Fund","Fire Fighting and Safety","312","7662"
"Materials and Supplies","3","Health","2016","General Operating Fund","Food","313","1150"
"Materials and Supplies","3","Health","2016","General Operating Fund","Fuel -- Heating and Lighting","314","11900"
"Materials and Supplies","3","Health","2016","General Operating Fund","General Hardware and Minor Tools","316","50192"
"Materials and Supplies","3","Health","2016","General Operating Fund","Hospital and Laboratory","317","3888895"
"Materials and Supplies","3","Health","2016","General Operating Fund","Janitorial, Laundry and Household","318","143733"
"Materials and Supplies","3","Health","2016","General Operating Fund","Office Materials and Supplies","320","456181"
"Materials and Supplies","3","Health","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","51388"
"Materials and Supplies","3","Health","2016","General Operating Fund","Precision, Photographic and Artists","324","72403"
"Materials and Supplies","3","Health","2016","General Operating Fund","Printing","325","60839"
"Materials and Supplies","3","Health","2016","General Operating Fund","Recreational and Educational","326","1105"
"Materials and Supplies","3","Health","2016","General Operating Fund","Other Materials and Supplies (noc)","399","149560"
"Equipment","4","Health","2016","General Operating Fund","Hospital and Laboratory","417","48465"
"Equipment","4","Health","2016","General Operating Fund","Office Equipment","420","38321"
"Equipment","4","Health","2016","General Operating Fund","Computer Equipment & Peripherals","427","47049"
"Equipment","4","Health","2016","General Operating Fund","Vehicles -- Motor and Motorless","428","3857"
"Equipment","4","Health","2016","General Operating Fund","Furniture and Furnishings","430","34518"
"Equipment","4","Health","2016","General Operating Fund","Other Equipment (noc)","499","12884"
"Payments to Other Funds","8","Health","2016","General Operating Fund","Payments to Capital Projects Fund","804","500000"
"Personal Services","1","Office of Bh/mr Services","2016","General Operating Fund","Salary Control","100","32221"
"Personal Services","1","Office of Bh/mr Services","2016","General Operating Fund","Perm Full Time-civilian","101","966840"
"Personal Services","1","Office of Bh/mr Services","2016","General Operating Fund","Overtime Civilian","161","1000"
"Personal Services","1","Office of Bh/mr Services","2016","General Operating Fund","Shift","181","5"
"Purchase of Services","2","Office of Bh/mr Services","2016","General Operating Fund","Professional Consult/spec Services","250","862155"
"Purchase of Services","2","Office of Bh/mr Services","2016","General Operating Fund","Mental Health & Retardation Service","254","12113355"
"Personal Services","1","Recreation","2016","General Operating Fund","Salary Control","100","478583"
"Personal Services","1","Recreation","2016","General Operating Fund","Perm Full Time-civilian","101","32079910"
"Personal Services","1","Recreation","2016","General Operating Fund","Perm Part Time","111","1925243"
"Personal Services","1","Recreation","2016","General Operating Fund","Temporary Seasonal","121","6394750"
"Personal Services","1","Recreation","2016","General Operating Fund","Overtime Civilian","161","2366240"
"Personal Services","1","Recreation","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","84449"
"Personal Services","1","Recreation","2016","General Operating Fund","Shift","181","99878"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Cleaning and Laundering","201","45390"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Janitorial Services","202","39900"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Telephone","209","2606"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Licenses Permits Inspection Charges","215","2194"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","31356"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","4656"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Advertising/promotional Activities","240","80"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Professional Consult/spec Services","250","7459987"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Legal Services","253","48398"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Dues","255","16540"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Seminar and Training Sessions","256","5800"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Architectural & Engineering Srvcs","257","3390"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Repair and Maintenance Charges","260","1040421"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Insurance and Official Bonds","280","13836"
"Purchase of Services","2","Recreation","2016","General Operating Fund","Rents","285","629971"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Agricultural and Botanical","301","33311"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Books and Other Publications","304","769"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Building and Construction","305","257018"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Chemicals and Gases","307","313174"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","123356"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Electrical and Communication","310","201142"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Fire Fighting and Safety","312","4238"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Food","313","9571"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Fuel -- Heating and Lighting","314","228294"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","General Hardware and Minor Tools","316","123376"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Hospital and Laboratory","317","9738"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Janitorial, Laundry and Household","318","278757"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Office Materials and Supplies","320","36849"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Small Power Tools and Hand Tools","322","44834"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","343933"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Precision, Photographic and Artists","324","33998"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Recreational and Educational","326","193706"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","6349"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Liquid Propane Gas (lpg)","342","14753"
"Materials and Supplies","3","Recreation","2016","General Operating Fund","Other Materials and Supplies (noc)","399","46456"
"Equipment","4","Recreation","2016","General Operating Fund","General Equipment and Machinery","411","98072"
"Equipment","4","Recreation","2016","General Operating Fund","Office Equipment","420","10468"
"Equipment","4","Recreation","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","43015"
"Equipment","4","Recreation","2016","General Operating Fund","Recreational and Educational","426","48755"
"Equipment","4","Recreation","2016","General Operating Fund","Computer Equipment & Peripherals","427","79118"
"Equipment","4","Recreation","2016","General Operating Fund","Vehicles -- Motor and Motorless","428","50000"
"Equipment","4","Recreation","2016","General Operating Fund","Furniture and Furnishings","430","21950"
"Equipment","4","Recreation","2016","General Operating Fund","Other Equipment (noc)","499","18805"
"Contributions, Indemnities, Refunds, Taxes","5","Recreation","2016","General Operating Fund","Contributions-ed & Non-prof Rec Org","505","2427500"
"Personal Services","1","Atwater Kent Museum","2016","General Operating Fund","Perm Full Time-civilian","101","240424"
"Personal Services","1","Atwater Kent Museum","2016","General Operating Fund","Overtime Civilian","161","2843"
